number	number	number	string	number	string	string	number	array	string	number	array	string	number	array	string	string	number	number
5002	50	2	love_image2	1350	不用翅膀也可以“飞”	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	你让我收起翅膀同你飞翔/n虽然有些害怕/n但只要你与我一起/n我便不惧任何阻挡	405021	2
5003	50	3	love_image3	3375	赛车真刺激	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	我从来没有输过/n第一次就是输给你/n本以为你有苛刻的要求/n你却只要我的微笑	405031	3
5004	50	4	love_image4	8450	戒指竟然绑在风筝上！	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	风筝飞的再高也不会害怕/n因为线的这头有人牵着/n我也不会害怕/n因为我呼唤你就会来到我身边。	405041	4
5101	51	1	love_image1	450	红酒比鲜血更醉人呢	エピソード1	3	"[10040,1]"	チケットを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	你知道么？/n红酒比血液更迷人/n而你比红酒更迷人/n真是酒不醉人人自醉	405111	1
5102	51	2	love_image2	1350	谢谢你陪我做我喜欢的事	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	走我走过的路/n听我喜欢的音乐会/n陪我做我喜欢的事/n你说不想我形单影只	405121	2
5103	51	3	love_image3	3375	谢谢你，my sunshine	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	皎洁朦胧的月光/n比不上耀眼夺目的阳光/n而你才是我最美的太阳/n我唯一的梦想	405131	3
5104	51	4	love_image4	8450	用戒指同我签订契约？	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	昏暗烛火醉人美酒/n你用戒指同我许诺/n生生世世伴我左右/n我愿永生与你相守	405141	4
5201	52	1	love_image1	450	加了芥末的饮料，是不是让你终生难忘？	エピソード1	3	"[10064,1]"	海鮮粥を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	饮料里加了芥末/n是什么味道？/n是不是让你终生难忘？/n那我是不是也可以让你终生难忘？	405211	1
5202	52	2	love_image2	1350	双人自行车？还是单人自行车？	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	双人自行车/n只有你一个人骑/n坐在后面的我/n心里满满都是窃喜	405221	2
5203	52	3	love_image3	3375	潜水什么的最喜欢了！	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	美丽的珊瑚/n缤纷多彩的鱼群/n意料之外的亲吻/n你好像已经在我心里扎根	405231	3
5204	52	4	love_image4	8450	给你做一辈子的料理	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	餐盘盖子下的甜品/n被你换成象征爱情的戒指/n你说愿意一辈子吃我做的料理/n我说以后的日子请你多指教	405241	4
5301	53	1	love_image1	450	谢谢你能理解我	エピソード1	3	"[10042,1]"	ドレスを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	黑漆漆的夜晚/n戏剧性的相遇/n你虽诧异/n但你还是理解我	405311	1
5302	53	2	love_image2	1350	原来跳伞也没那么可怕	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	千米高空/n层层白云/n你用行动给我勇气/n让我战胜了内心的恐惧	405321	2
5303	53	3	love_image3	3375	骑着海豚拍照是一种别样的体验	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	你偷看了我的日记/n帮我实现了我的梦想/n和海豚共舞的照片/n满满的都是你的爱意	405331	3
5304	53	4	love_image4	8450	原来鸽子是爱的使者	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	洁白的鸽子/n是爱的使者/n我们说好要一直在一起/n永远不分离	405341	4
5401	54	1	love_image1	450	谢谢你和我一起照顾玫瑰。	エピソード1	3	"[10021,1]"	霧吹きを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	开满玫瑰的花园/n不再是我一人守护/n从此多了一个你/n谢谢你	405411	1
5402	54	2	love_image2	1350	你做的秋千我很喜欢。	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	推秋千的你/n荡秋千的我/n随着秋千摆来摆去/n我也怦然心动	405421	2
5403	54	3	love_image3	3375	翩翩飞舞的蝴蝶真漂亮。	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	紧紧拉着的双手/n五彩缤纷的蝴蝶/n飞舞在你我身边/n好像也在为我们雀跃	405431	3
5404	54	4	love_image4	8450	藏在漂流瓶里的戒指，真特别。	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	没有钓到鱼/n却捞到了装着戒指的漂流瓶/n你轻轻说着永远在一起/n我害羞的回答我愿意	405441	4
5501	55	1	love_image1	450	原来你是个傻瓜。	エピソード1	3	"[10020,1]"	本を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	初次相遇/n让你帮我抱着古董不许动/n你竟真的几个小时一动不动/n真是傻得可爱啊	405511	1
5502	55	2	love_image2	1350	宝物没挖成，下次再去吧。	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	黑漆漆的洞穴/n紧紧拉着你的衣角/n你怀抱的温度/n让我心头小鹿乱撞	405521	2
5503	55	3	love_image3	3375	旋转木马……找回了儿时的快乐，谢谢你。	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	灯光音乐/n旋转木马/n让我开怀大笑/n谢谢你带我重返童年时光	405531	3
5504	55	4	love_image4	8450	戒指原来还可以藏在书里。	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	在众人面前威严/n在你面前傲娇/n和你在一起的每一刻/n都像是幸福的永远	405541	4
5601	56	1	love_image1	450	幸好有你，不然一晚上都要在黑暗中度过了	エピソード1	3	"[10043,1]"	果物を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	黑漆漆的房间里/n你修好了电路/n让我不会在黑暗中无措/n幸好有你	405611	1
5602	56	2	love_image2	1350	热气球上看夕阳是一种特别的体验	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	缓缓上升的热气球/n满载着我内心的悸动/n别样的夕阳/n特别的你	405621	2
5603	56	3	love_image3	3375	摩天轮的传说	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	夜空下的星光游乐场/n代表幸福的摩天轮/n我安静的听你说/n有关喜欢的传说	405631	3
5604	56	4	love_image4	8450	愿望就是永远在一起	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	写着荧光字的气球/n替你说着Marry me/n原来你的生日愿望/n就是同我永远在一起	405641	4
5701	57	1	love_image1	450	有坏掉的东西需要我修嘛？	エピソード1	3	"[10029,1]"	ぬいぐるみを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	天才少女遇到了困难/n没关系/n我会克服它们的/n就交给我吧！	405711	1
5702	57	2	love_image2	1350	 开着宝贝挖掘机兜风吧！	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	总想和你分享最美好的事/n或许方法不太对/n但这颗心/n可是十分十分认真的喔！	405721	2
5703	57	3	love_image3	3375	你看起来不舒服的样子……	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	想为你做我力所能及的事/n想尽可能地帮助你/n这大概就是……/n名为喜欢的感觉么？	405731	3
5704	57	4	love_image4	8450	想把我最好的一切都给你……	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	终于来到了你身边/n终于完成了最初的心愿/n很高兴遇到你/n很高兴能够爱你。	405741	4
5801	58	1	love_image1	450	差点把你射成蜂窝	エピソード1	3	"[10043,1]"	果物を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	初次见面/n莽莽撞撞的你/n差点被我射成蜂窝/n现在都觉得后怕。	405811	1
5802	58	2	love_image2	1350	谢谢你，身体不舒服也一直陪我	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	刺激的过山车/n你陪我玩了一次又一次/n就算身体不舒服也硬撑/n大大的感动化作小小的爱意。	405821	2
5803	58	3	love_image3	3375	你说你对我的感情不会像烟花一样消逝	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	夏日祭的烟火/n缤纷绚丽/n你说你对我的感情不是烟花/n永远不会消逝	405831	3
5804	58	4	love_image4	8450	藏在章鱼烧里的戒指	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	最爱的章鱼烧/n最爱的你/n以后的日子/n倍感甜蜜	405841	4
5901	59	1	love_image1	450	今日は例の森に向かう。	エピソード1	3	"[10023,1]"	蛤刃を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	危険な場所で出会ったあなた/n私を守るといってくれた/n嬉しかった/n結局は逆になったけど	405911	1
5902	59	2	love_image2	1350	良い所とはどこだろうな。（グルル…）	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	遊園地は/n子供の遊び場と思っていた/n凄く楽しかった/nあなたが傍にいるからかも	405921	2
5903	59	3	love_image3	3375	今日は結構冷えるな…。	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	白い世界に白い虎/n冷たい世界で熱い勝負/n突然のキス/n私の心は盗まれた	405931	3
5904	59	4	love_image4	8450	あいつのところに行こう…。	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	想定外のプロポーズ/n私の白虎もあなたの味方になる/n私達に一番必要なのは/nずっと一緒にいること	405941	4
6001	60	1	love_image1	450	特に何かをしているというわけではありません。	エピソード1	3	"[10020,1]"	本を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	突然の呼びかけに/n夜空を眺めていた私は/nただ自分の感情を表せないでいた	406011	1
6002	60	2	love_image2	1350	雨の後の空が綺麗だね	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	雨後の空気/n綺麗な星空/n貴方の暖かいコート/n全て好きかも	406021	2
6003	60	3	love_image3	3375	初めての乗馬でした。	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	始めての乗馬/n貴方の熱心な指導/n貴方の真剣な表情/nとても愛しい	406031	3
6004	60	4	love_image4	8450	プレゼント、ありがとうございました。	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	部屋の電気を消し/n貴方からの特別なプレゼント/n私は愛を感じ/n「はい」という言葉しか思い浮かばなかった	406041	4
6101	61	1	love_image1	450	ぬいぐるみ、ありがとう！	エピソード1	3	"[10029,1]"	ぬいぐるみを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	ぬいぐるみのお店/n可愛い子がいっぱい/n思いがけないプレゼント！/n家族が増えた	406111	1
6102	61	2	love_image2	1350	キリンに餌を？	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	不意に持ち上げられる私/nそしてキリンさんに餌をあげる/n少し恥ずかしいけれど、すごく嬉しい/n本当にありがとう	406121	2
6103	61	3	love_image3	3375	あなたの悩みを見てあげる	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	無色透明の水晶球/nあなたの好きな女の子を占って/n現れた女の子/nそれは私だった	406131	3
6104	61	4	love_image4	8450	飴の中の贈り物	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	梅味の飴を貰った/n舐めていると溶けて……/nそしてその中に指輪が入っていた/nこの指輪は無くならない	406141	4
10101	101	1	love_image1	525	みてみて！\n超可愛い水着だよ！\nプール行こうよプール！	エピソード1	3	"[10065,1]"	水着を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	私は単純/nあなたしか目に入らなくなるの/nどうぞ私の手を取って下さい/n私を抱きしめて下さい	410111	1
10102	101	2	love_image2	1575	バスケットの試合？\n行く行く！\nガンガン応援するよ！	エピソード2	3	"[10066,1]"	バスケットボールを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	たとえどこにいても/n楽しくても辛くても/nあなたがそばにいれば/n空気でさえ甘くなる	410121	2
10103	101	3	love_image3	3950	今度の週末、街に行こうよ！	エピソード3	3	"[10067,1]"	ペアカップを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	ペアカップ/n仲良く並べる/n二人はお互いの心を知っている/n私は二人で一緒にいたいの	410131	3
10104	101	4	love_image4	9850	超いい天気だね！ 公園に行こうよ！	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	二人の間で/ｎ成り立つ恋愛/nしっかり握った手の中に/nたくさんの明日がある	410141	4
10201	102	1	love_image1	525	星座占いアプリ…？\n明日はいい日になる…か、\nたまには息抜きでもするか。	エピソード1	3	"[10068,1]"	スマホをあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	あれこれ悩んで/n躊躇したまま/n私はもっとよくなれると思う/nあなたの目に私がいないことが怖い	410211	1
10202	102	2	love_image2	1575	蛤刃ねぇ、ほんとに今夜の任務に必要なの？ よく分からないから一緒に来てくれる？	エピソード2	3	"[10023,1]"	蛤刃を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	完璧なタイミング/n心の通じ合った協力プレイ/n私たちは/n最高の相棒	410221	2
10203	102	3	love_image3	3950	もう帰ってこないのかな。	エピソード3	3	"[10072,1]"	首輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	一人の生活は縛られることなく/n全てが自由で心の赴くまま/n二人でお互いに支え合えば/nきっともっと素晴らしくなる	410231	3
10204	102	4	love_image4	9850	スマホが鳴っているわ、メッセージ？\n誰からかしら。	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	あなたは永遠と歌い/私は不変と合わせる/nあたかも見えているよう/n幸せは近くで私たちに手招きをしてる	410241	4
10301	103	1	love_image1	525	新入生が来るらしい、どんな人だろう。	エピソード1	3	"[10020,1]"	本を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	最初に君に出会ったあの日/nまだ緊張していたその横顔/n暖かなお日さまの下で/n未来への期待で眩しく輝く	410311	1
10302	103	2	love_image2	1575	あの人見覚えがあるな…。	エピソード2	3	"[10070,1]"	ブレスレットを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	思いがけない出会い/nそれはお月様が敷いた伏線/n僕たちの物語は/n始まったばかり	410321	2
10303	103	3	love_image3	3950	週末一緒に遊びに行かないか？	エピソード3	3	"[10031,1]"	てるてる坊主を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	偶然か、必然か、運命なのか/n私が望んだ人が目の前にいた/nあなたに出会えた/nこれが私の一番美しいアクシデント	410331	3
10304	103	4	love_image4	9850	明日は特別な日なんだ。\nできれば一緒に過ごしたい。	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	お日様が二人を照らしている/n今日あなたは私と一緒になる/n二人は笑って手をつなぐ/n幸せな生活を作っていく	410341	4
